frame_id,steering_angle
1479425441182877835,-0.027457665652036667
1479425441232704425,-0.018365634605288506
1479425441282730750,-0.03401339799165726
1479425441332806714,-0.01724487915635109
1479425441382790272,-0.01562703587114811
1479425441432724303,-0.024758288636803627
1479425441482746958,-0.01834583654999733
1479425441532802506,-0.043263036757707596
1479425441582725165,-0.04423034191131592
1479425441632720892,-0.04197385162115097
1479425441682732948,-0.06818976998329163
1479425441732800574,-0.1346701681613922
1479425441782737331,-0.13826952874660492
1479425441832816004,-0.146634042263031
1479425441882830087,-0.13341155648231506
1479425441932849879,-0.07161383330821991
1479425441982783223,-0.0699262022972107
1479425442032874172,-0.03764849901199341
1479425442082758552,-0.033787570893764496
1479425442132852121,-0.08454515039920807
1479425442182761838,-0.09200198948383331
1479425442232828524,-0.07784800976514816
1479425442282862682,-0.059011295437812805
1479425442332893792,0.0390196219086647
1479425442382858459,-0.05566507950425148
1479425442432797491,-0.046585485339164734
1479425442482899263,-0.03714577481150627
1479425442532771570,-0.02316894382238388
1479425442582809345,-0.0017536282539367676
1479425442632821093,0.0413820818066597
1479425442682747552,-0.03936991095542908
1479425442732806572,-0.02512492425739765
1479425442782862182,-0.0675734132528305
1479425442832833025,-0.04627389460802078
1479425442882822631,-0.028963102027773857
1479425442932809867,-0.018838828429579735
1479425442982805056,-0.011884104460477829
1479425443032823520,-0.014837568625807762
1479425443082812203,-0.01388409174978733
1479425443132827444,0.0023024100810289383
1479425443182854411,-0.03135432302951813
1479425443232861030,-0.026806505396962166
1479425443282879357,0.006125975400209427
1479425443332896491,-0.01083114743232727
1479425443382879593,-0.04456270486116409
1479425443432903742,-0.06015022471547127
1479425443483016593,-0.08337897062301636
1479425443533017775,-0.0553586371243
1479425443582977575,-0.0530383475124836
1479425443632945821,-0.04679836332798004
1479425443682982187,-0.05310773104429245
1479425443732869219,0.019834265112876892
1479425443782898808,0.03331135958433151
1479425443833012205,-0.016557011753320694
1479425443882914607,-0.04070890322327614
1479425443933132143,-0.011084329336881638
